date,close,high,low,open,quoteVolume,volume,weightedAverage
1575158400,0.00625834,0.00625843,0.00622445,0.00625499,229.59328878,1.43446664,0.00624785
1575160200,0.00626499,0.00626499,0.00624683,0.00625834,7.34716033,0.04591958,0.00624997
1575162000,0.00625499,0.00626437,0.00622104,0.00624751,331.39834667,2.07090183,0.00624898
1575163800,0.0062507,0.00626152,0.00623701,0.00626,78.6586791,0.49153403,0.00624894
1575165600,0.00624,0.006245,0.00618451,0.00624124,630.50103517,3.91491818,0.00620921
1575167400,0.00626988,0.00627499,0.00623999,0.00623999,100.22678744,0.62698962,0.0062557
1575169200,0.00629804,0.00631,0.00625306,0.00626492,250.5450538,1.57714249,0.00629484
1575171000,0.0063001,0.00631829,0.00627002,0.00629175,163.578342,1.02964598,0.00629451
1575172800,0.00634345,0.00634348,0.00629239,0.00630006,162.03618921,1.02586861,0.0063311
1575174600,0.00634048,0.00635,0.00632547,0.0063331,140.81471231,0.89255682,0.00633851
1575176400,0.00631009,0.00634765,0.00630884,0.00634765,144.73769292,0.91435605,0.00631733
1575178200,0.00634968,0.00636576,0.00632005,0.00632005,66.827083,0.42402851,0.00634515
1575180000,0.00633577,0.00635646,0.00632501,0.00634953,101.8511047,0.64516246,0.00633436
1575181800,0.00632998,0.00635498,0.00632001,0.00634081,19.08864299,0.12097107,0.00633733
1575183600,0.00632999,0.0063347,0.00630883,0.00632996,27.49925433,0.1737752,0.00631926
1575185400,0.00633885,0.00633885,0.00630883,0.00631151,5.44472121,0.03441109,0.00632008
1575187200,0.00634999,0.00635,0.00632996,0.00633,55.14303967,0.34965226,0.00634082
1575189000,0.00633999,0.00635571,0.00633025,0.00634029,9.34391561,0.05924802,0.00634081
1575190800,0.00634377,0.00634991,0.00632943,0.00633078,154.272949,0.97662898,0.00633052
1575192600,0.006355,0.00636575,0.00633612,0.00634352,91.00184958,0.57776251,0.0063489
1575194400,0.00635975,0.00636896,0.00634505,0.00635139,221.47325387,1.4077279,0.00635619
1575196200,0.00631512,0.00635994,0.00630899,0.006345,110.57171876,0.69908815,0.00632248
1575198000,0.00633001,0.00633261,0.00630884,0.0063195,15.06419476,0.09522357,0.00632118
1575199800,0.00635999,0.00635999,0.00632028,0.00632028,20.87428156,0.13238804,0.00634216
1575201600,0.0063497,0.00635496,0.00633505,0.00634202,5.39432896,0.03425385,0.00634997
1575203400,0.00633382,0.00634978,0.00632692,0.0063494,4.32291412,0.02735928,0.00632889
1575205200,0.00635,0.006355,0.00632692,0.00632692,35.8193852,0.22714252,0.00634132
1575207000,0.00646093,0.00647067,0.0063544,0.0063544,600.31636534,3.85468853,0.00642109
1575208800,0.00644499,0.00648,0.00644,0.00645871,309.08095655,1.99742183,0.00646245
1575210600,0.00645994,0.00646993,0.00644322,0.00645986,414.58661029,2.67783095,0.00645903
1575212400,0.00646137,0.00648874,0.006455,0.00645995,551.53668185,3.5706426,0.00647398
1575214200,0.00644814,0.00647998,0.00644758,0.00646167,350.36135318,2.26673212,0.00646969
1575216000,0.00646428,0.00647995,0.00645512,0.00645984,459.38364808,2.96997869,0.00646513
1575217800,0.00647471,0.00647471,0.00644758,0.00646995,494.22683654,3.19066454,0.00645587
1575219600,0.00646492,0.0064749,0.00645401,0.00646505,229.82816512,1.48809056,0.00647479
1575221400,0.00645999,0.00647,0.00644901,0.00645503,91.48049893,0.591082,0.00646128
1575223200,0.00646999,0.00647498,0.00645349,0.00645349,95.47062322,0.61719186,0.00646473
1575225000,0.00646512,0.006473,0.00644952,0.0064604,177.8433226,1.1505666,0.00646955
1575226800,0.006475,0.006475,0.00645009,0.00646512,94.62073337,0.61128447,0.00646036
1575228600,0.00643518,0.00647595,0.006435,0.00646998,205.54700663,1.3257371,0.0064498
1575230400,0.00644484,0.00645997,0.006439,0.00644349,33.98349947,0.21929667,0.00645303
1575232200,0.00645994,0.00645994,0.00643079,0.00644447,23.95391246,0.15426672,0.00644014
1575234000,0.00645601,0.0064765,0.00645407,0.00645995,382.30773711,2.47170457,0.00646522
1575235800,0.00647,0.00647,0.00644001,0.00645601,86.12706275,0.55685007,0.00646544
1575237600,0.00645671,0.00647998,0.00644051,0.00647,197.03027163,1.27102284,0.0064509
1575239400,0.00647889,0.0064793,0.0064606,0.00646102,116.07105396,0.75056042,0.00646638
1575241200,0.00644489,0.0064861,0.00644,0.00647871,362.20315178,2.334334,0.00644481
1575243000,0.00642122,0.00644959,0.00640721,0.00643491,199.79050619,1.28347267,0.00642409
1575244800,0.00641806,0.00642843,0.00641423,0.00641446,20.81609547,0.13355025,0.00641572
